No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
40,Content & Copy,Ampersand Space,ampersand and constrained,Web,Use & instead of 'and' where space is constrained,Use & for tight spaces,'and' in constrained space,"'Terms & Conditions'","'Terms and Conditions' // in narrow button",Low
41,i18n,Number Formatting,intl numberformat currency,Web,Use Intl.NumberFormat for number and currency formatting,Use Intl.NumberFormat,"Hardcoded number/currency format","new Intl.NumberFormat('en', { style: 'currency', currency: 'USD' }).format(amount)","'$' + amount.toFixed(2)",Medium
42,i18n,Language Detection,navigator languages accept-language,Web,Detect language via Accept-Language header or navigator.languages not IP,Use Accept-Language or navigator.languages,IP-based language detection,"const lang = navigator.languages[0]","// Geo-IP to determine language",Medium
43,Touch,Tap Highlight Color,webkit-tap-highlight-color touch,Web,Set -webkit-tap-highlight-color intentionally on touch devices,Set tap highlight color explicitly,Default blue highlight on tap,"-webkit-tap-highlight-color: transparent","// default blue flash on iOS",Low
44,Touch,Inert During Drag,inert drag text-selection disable,Web,During drag operations disable text selection and set inert on dragged elements,Set inert and user-select: none during drag,Text selection during drag,"el.setAttribute('inert', ''); document.body.style.userSelect = 'none'","// text gets selected while dragging",Medium
45,Touch,AutoFocus Sparingly,autofocus mobile desktop input,Web,Use autoFocus only on desktop for single primary input; avoid on mobile,autoFocus on desktop primary input only,autoFocus on mobile inputs,"autoFocus={!isMobile}","autoFocus // opens keyboard on mobile unexpectedly",Medium
46,Safe Areas,Safe Area Insets,safe-area-inset env notch,Web,Full-bleed layouts need env(safe-area-inset-*) for notches and rounded corners,Use env(safe-area-inset-*) padding,Content hidden behind notch,"padding: env(safe-area-inset-top) env(safe-area-inset-right)","// content behind notch on iPhone",Medium
47,Safe Areas,CSS Layout Over JS,flex grid layout measurement,Web,Prefer CSS flex/grid over JavaScript measurement for layout,Use flex/grid for layout,JS measurement for positioning,"display: flex; gap: 1rem","el.getBoundingClientRect() for positioning",Low
48,Hydration,Controlled Input OnChange,controlled input value onchange,Web,Inputs with value prop need onChange handler or use defaultValue for uncontrolled,Add onChange to controlled inputs or use defaultValue,value without onChange,"<input value={val} onChange={setVal} />","<input value={val} /> // React warning",High
49,Hydration,Suppress Hydration Warning,suppresshydrationwarning date time,Web,Use suppressHydrationWarning only on elements with expected server/client differences,Add suppressHydrationWarning for dates/times,Suppress everywhere or ignore warnings,"<span suppressHydrationWarning>{new Date().toLocaleString()}</span>","<span>{new Date().toLocaleString()}</span> // hydration error",Low
50,Anti-Pattern,No Div Click Navigation,div span onclick button link,Web,Don't use div/span with onClick for navigation or actions - use button or anchor,Use button for actions and anchor for navigation,Div/span with click handlers,"<button onClick={fn}>Action</button>","<div onClick={fn}>Action</div>",High
51,Anti-Pattern,Image Dimensions Required,img width height cls,Web,All img elements need explicit width and height to prevent CLS,Set width and height on images,Images without dimensions,"<img width={800} height={600} src='...' />","<img src='...' /> // causes CLS",Medium
52,Anti-Pattern,AutoFocus Justification,autofocus sparingly desktop,Web,autoFocus should have clear justification - avoid on mobile and multi-input forms,Justify autoFocus usage,autoFocus without thought,"autoFocus // single search input on desktop","autoFocus // on every form's first input",Low
